seed,depth_accuracy,depth_accuracy_by_language.en,kl,kl_structure,kl_text,loss,mean_parent_child_distance,mean_sibling_distance,mean_unrelated_distance,next_accuracy,next_accuracy_by_language.en,parent_accuracy,parent_accuracy_by_language.en,perplexity,reconstruction_loss,reconstruction_loss_by_language.en
0,0.9429657794676806,0.9429657794676806,10.891597323947483,8.965209007263184,1.926388488875495,1.7691584295696683,6.037501275424553,2.1180550208339444,5.609261065154928,0.40874524714828897,0.40874524714828897,0.7034220532319392,0.7034220532319392,3.675297498703003,1.3016340732574463,1.3030010686174545
1,0.9486692015209125,0.9486692015209125,10.995310147603353,8.922290007273356,2.0730199681388006,1.757327225473192,6.184813491181831,2.0467040191739154,5.58852451563788,0.3821292775665399,0.3821292775665399,0.714828897338403,0.714828897338403,3.634539842605591,1.290482521057129,1.2881441767904696
2,0.9657794676806084,0.9657794676806084,11.013709174262154,8.921669854058159,2.0920395056406655,1.770263433456421,6.17411411934046,2.0995416203876593,5.510722230369147,0.3403041825095057,0.3403041825095057,0.6844106463878327,0.6844106463878327,3.681276321411133,1.3032595316569011,1.293908331444055
3,0.8973384030418251,0.8973384030418251,11.118423991733128,9.179734230041504,1.9386898544099596,1.7865808804829915,6.018919016814186,2.101959368754259,5.632244955450863,0.34980988593155893,0.34980988593155893,0.6920152091254753,0.6920152091254753,3.699535608291626,1.3082072469923232,1.299786527460519
4,0.8783269961977186,0.8783269961977186,10.742268668280708,8.977812025282118,1.7644566297531128,1.7302288081910875,6.029413511757676,2.056974930164618,5.57754068274915,0.3897338403041825,0.3897338403041825,0.6996197718631179,0.6996197718631179,3.5384669303894043,1.2636936108271282,1.262759644608987
5,0.9486692015209125,0.9486692015209125,11.038680818345812,8.970007472568089,2.0686735444598727,1.7599389950434368,5.928655510003856,2.0378810593060086,5.467863128212469,0.3726235741444867,0.3726235741444867,0.7034220532319392,0.7034220532319392,3.635518789291382,1.2907518678241305,1.2856876369664878
6,0.9125475285171103,0.9125475285171103,11.029617097642687,9.039861679077148,1.9897554318110149,1.7993486987219915,6.085886328665967,2.0326229055206495,5.583814244306586,0.36311787072243346,0.36311787072243346,0.7015209125475285,0.7015209125475285,3.771444320678711,1.32745803727044,1.3195375051108604
7,0.9429657794676806,0.9429657794676806,11.122684796651205,8.997622278001574,2.1250625318951077,1.740977234310574,6.295783937321922,2.088715124697912,5.573625575000342,0.3726235741444867,0.3726235741444867,0.7072243346007605,0.7072243346007605,3.560302495956421,1.2698454591963027,1.2672857900536105
8,0.9296577946768061,0.9296577946768061,10.881013976203072,8.954331927829319,1.9266822073194716,1.7607062525219388,6.398875248914509,2.0566047299733925,5.539003555312356,0.36311787072243346,0.36311787072243346,0.7129277566539924,0.7129277566539924,3.646336078643799,1.2937228149837918,1.2918411155617282
9,0.9068441064638784,0.9068441064638784,10.683701515197754,8.724953333536783,1.958748115433587,1.7294152312808566,5.911088898921518,2.0165584676967554,5.491855229488344,0.3821292775665399,0.3821292775665399,0.6634980988593155,0.6634980988593155,3.5736234188079834,1.2735800478193495,1.2710443253526216
