metric,count,mean,std,min,max
depth_accuracy,10,0.9273764258555133,0.027532648192578765,0.8783269961977186,0.9657794676806084
depth_accuracy_by_language.en,10,0.9273764258555133,0.027532648192578765,0.8783269961977186,0.9657794676806084
kl,10,10.951700750986735,0.1493355378640772,10.683701515197754,11.122684796651205
kl_structure,10,8.965349181493123,0.11274611381231078,8.724953333536783,9.179734230041504
kl_text,10,1.9863516277737088,0.10756782561340551,1.7644566297531128,2.1250625318951077
loss,10,1.7603945189052157,0.022690638150025026,1.7294152312808566,1.7993486987219915
mean_parent_child_distance,10,6.106505133834648,0.15657054875910573,5.911088898921518,6.398875248914509
mean_sibling_distance,10,2.0655617246509115,0.03421033951771827,2.0165584676967554,2.1180550208339444
mean_unrelated_distance,10,5.5574455181682065,0.05318405419323675,5.467863128212469,5.632244955450863
next_accuracy,10,0.3724334600760456,0.019786684834850018,0.3403041825095057,0.40874524714828897
next_accuracy_by_language.en,10,0.3724334600760456,0.019786684834850018,0.3403041825095057,0.40874524714828897
parent_accuracy,10,0.6982889733840304,0.015184020259957033,0.6634980988593155,0.714828897338403
parent_accuracy_by_language.en,10,0.6982889733840304,0.015184020259957033,0.6634980988593155,0.714828897338403
perplexity,10,3.641634130477905,0.07063331741380273,3.5384669303894043,3.771444320678711
reconstruction_loss,10,1.2922635210884943,0.019370779544541274,1.2636936108271282,1.32745803727044
reconstruction_loss_by_language.en,10,1.2882996121966794,0.017532034612386338,1.262759644608987,1.3195375051108604
